UserID,InvoiceNo,TotalPayment,InvoiceDate
212645,10001,84.8799,01-05-2020
153801,10002,454.3857,01-05-2020
212653,10003,204.0957,01-05-2020
76145,10004,340.0299,01-05-2020
212636,10005,221.1057,01-05-2020
212639,10006,473.607,01-05-2020
161305,10007,437.3757,01-05-2020
212637,10008,93.2148,01-05-2020
212638,10009,113.967,01-05-2020
211731,10010,84.8799,01-05-2020
213289,10011,233.2557,01-05-2020
223057,10012,203.6097,01-05-2020
212621,10013,473.607,01-05-2020
212620,10014,271.9899,01-05-2020
160495,10015,850.3299,01-05-2020
212613,10016,403.2099,01-05-2020
212608,10017,595.1556,01-05-2020
90748,10018,595.1799,01-05-2020
212601,10019,153.0657,01-05-2020
212600,10020,59.3649,01-05-2020
212606,10021,33.8499,01-05-2020
218473,10022,255.1257,01-05-2020
212584,10023,169.7598,01-05-2020
212599,10024,289.1457,01-05-2020
209356,10025,267.2757,01-05-2020
210021,10026,292.7421,01-05-2020
212583,10027,315.657,01-05-2020
212587,10028,221.1057,01-05-2020
212571,10029,901.4814,01-05-2020
212588,10030,442.2357,01-05-2020
212574,10031,221.1057,01-05-2020
212584,10032,181.9098,01-05-2020
215876,10033,428.5062,01-05-2020
212505,10034,395.5068,01-05-2020
212565,10035,1020.5271,01-05-2020
212577,10036,170.0757,01-05-2020
212572,10037,367.2702,01-05-2020
212146,10038,152.7498,01-05-2020
199081,10039,510.2757,01-05-2020
212554,10040,119.0457,01-05-2020
212543,10041,33.8499,01-05-2020
212556,10042,101.8899,01-05-2020
212543,10043,33.8499,01-05-2020
212548,10044,84.8799,01-05-2020
217577,10045,403.3557,01-05-2020
212543,10046,33.8499,01-05-2020
212540,10047,97.0299,01-05-2020
212542,10048,67.8699,01-05-2020
92133,10049,204.0957,01-05-2020
173813,10050,318.1599,01-05-2020
212531,10051,646.3557,01-05-2020
212537,10052,97.0299,01-05-2020
212514,10053,1717.4511,01-05-2020
212528,10054,1048.7637,01-05-2020
214398,10055,454.3857,01-05-2020
181106,10056,288.9999,01-05-2020
